stoxx_id;name;isin;sedol;bbg;ric;attribute;value;date;
CN1EQ4;WISESOFT A;CNE100000C49;B39RLQ5;;002253.SZ;ADTV_3M_EUR;20200424.6216117;3/18/2024
KR515M;AEROSPACE TECHNOLOGY OF KOREA;KR7067390005;BTLWMX4;;067390.KQ;ADTV_3M_EUR;363405.577904871;3/18/2024
ID20EB;MEDIA NUSNT.CITRA;ID1000106206;B1Z5HY9;;MNCN.JK;ADTV_3M_EUR;1411311.01462751;3/18/2024
CN1AU4;JIANGSU EXPRESSWAY H;CNE1000003J5;6005504;;0177.HK;ADTV_3M_EUR;4248556.74916116;3/18/2024
CN1GK0;GCL ENERGY TECHNOLOGY 'A';CNE000001K08;B01RWQ9;;002015.SZ;ADTV_3M_EUR;27453039.5485625;3/18/2024
AU10MR;Qube Holdings Ltd;AU000000QUB5;B1L4BC6;;QUB.AX;ADTV_3M_EUR;4842827.03037267;3/18/2024
681071;SIMS LTD.;AU000000SGM7;B0LCW75;;SGM.AX;ADTV_3M_EUR;3344783.74040513;3/18/2024
SE50MX;SVENSKA HANDBKN.'B';SE0007100607;BXDZ9V6;;SHBb.ST;ADTV_3M_EUR;1748264.05915185;3/18/2024
IN05Z9;JAI BALAJI INDS.;INE091G01018;B04GKH0;;JAIB.BO;ADTV_3M_EUR;176693.657018707;3/18/2024
CN1HXE;NORTH IND.GRP. RED ARROW 'A';CNE000000198;6193261;;000519.SZ;ADTV_3M_EUR;30031531.6417624;3/18/2024
037178;GSK;GB00BN7SWP63;BN7SWP6;;GSK.L;ADTV_3M_EUR;160858720.622717;3/18/2024
CN2528;SHAI.HAIXIN GROUP 'B';CNE000000DX2;6826415;;900917.SS;ADTV_3M_EUR;109348.679811321;3/18/2024
CN1A9J;JIULI METALS 'A';CNE100000HX2;B4MVCH9;;002318.SZ;ADTV_3M_EUR;13829010.5401136;3/18/2024
632994;FP;JP3167000003;6329947;;7947.T;ADTV_3M_EUR;3738572.81659479;3/18/2024
CN0UNG;GRINM ADVANCED MATERIALS 'A';CNE000000YF5;6141981;;600206.SS;ADTV_3M_EUR;12373593.2205751;3/18/2024
CN0DNZ;FAW JIEFANG GROUP 'A';CNE000000R85;6003531;;000800.SZ;ADTV_3M_EUR;18876914.1020169;3/18/2024
MCY;MERCURY GENERAL;US5894001008;2578464;;MCY.N;ADTV_3M_EUR;8097604.5788275;3/18/2024
VN224Q;PHAT DAT REAL ESTATE DEV.;VN000000PDR0;B4V9BD3;;PDR.HM;ADTV_3M_EUR;11508277.9552748;3/18/2024
US40MK;LIBERTY FORMULA ONE C;US5312297550;BPLYVN5;;FWONK.OQ;ADTV_3M_EUR;67860543.4234626;3/18/2024
680434;Shikoku Electric Power Co. Inc;JP3350800003;6804347;;9507.T;ADTV_3M_EUR;5189273.2981184;3/18/2024
SG10PY;MAPLETREE PAN ASIA COMM TRUST;SG2D18969584;B5143W8;;MACT.SI;ADTV_3M_EUR;11136744.6910802;3/18/2024
CN10GG;Jointown Pharm 'A';CNE100000W45;B5319W9;;600998.SS;ADTV_3M_EUR;16565798.6501255;3/18/2024
CA206U;TOREX GOLD RESOURCES;CA8910546032;BD2NKY1;;TXG.TO;ADTV_3M_EUR;2655575.66794487;3/18/2024
CN1HR8;JIANG. APAC LIGHT ALLOY TECH A;CNE100000Z67;B67NMM9;;002540.SZ;ADTV_3M_EUR;12816132.8464447;3/18/2024
IN125D;BAJAJ CONSUMER CARE;INE933K01021;B4TL1F3;;BACO.BO;ADTV_3M_EUR;157840.399792681;3/18/2024
TW14IC;Aten Intl;TW0006277007;6698421;;6277.TW;ADTV_3M_EUR;225770.550441167;3/18/2024
SG405H;FRASERS PROPERTY;SG2G52000004;BH7T0P3;;FRPL.SI;ADTV_3M_EUR;119520.64173262;3/18/2024
B03851;FERROVIAL;NL0015001FS8;BRS7CF0;;FER.MC;ADTV_3M_EUR;31148273.7331577;3/18/2024
666634;PACIFIC METALS;JP3448000004;6666343;;5541.T;ADTV_3M_EUR;5469173.93199311;3/18/2024
686432;Suruga Bank Ltd.;JP3411000007;6864329;;8358.T;ADTV_3M_EUR;7747960.18216963;3/18/2024
614998;ALPHA SYSTEMS;JP3126330004;6149985;;4719.T;ADTV_3M_EUR;276129.2866581;3/18/2024
485471;SULZER;CH0038388911;4854719;;SUN.S;ADTV_3M_EUR;3258715.15286097;3/18/2024
CN0C3E;SHENYANG CHM.IND. 'A';CNE0000002H3;6769394;;000698.SZ;ADTV_3M_EUR;15692425.9167048;3/18/2024
B18XCB;CNTEE TRANSELECTRICA;ROTSELACNOR9;B18XCB2;;ROTEL.BX;ADTV_3M_EUR;187738.85746859;3/18/2024
AR0034;Aluar;ARALUA010258;2891837;;ALUA.BA;ADTV_3M_EUR;1042232.88021097;3/18/2024
CN13BE;PRET COMPOSITES 'A';CNE100000J34;B4X7920;;002324.SZ;ADTV_3M_EUR;19209647.0875477;3/18/2024
JP206G;TOTETSU KOGYO;JP3595400007;6897444;;1835.T;ADTV_3M_EUR;1009377.26992586;3/18/2024
TW02MD;Liteon Tech;TW0002301009;6519481;;2301.TW;ADTV_3M_EUR;52205425.1815284;3/18/2024
CO0055;BanColombia SA;COB07PA00078;BJ62K57;;BIC.CN;ADTV_3M_EUR;3166158.5747735;3/18/2024
CN128A;UFIDA NETWORK TECHNOLOGY 'A';CNE0000017Y6;6346678;;600588.SS;ADTV_3M_EUR;49388621.8458157;3/18/2024
525824;SUBSEA7;LU0075646355;5258246;;SUBC.OL1;ADTV_3M_EUR;5837037.69545588;3/18/2024
RPM;RPM INTL.;US7496851038;2756174;;RPM.N;ADTV_3M_EUR;61246405.8239918;3/18/2024
CN129B;HONZ PHARM.'A';CNE100000QM6;B42N7C5;;300086.SZ;ADTV_3M_EUR;8265270.06250265;3/18/2024
CN0EER;GOHIGH NETWORKS 'A';CNE0000009Q9;6113838;;000851.SZ;ADTV_3M_EUR;25647705.5205913;3/18/2024
TH21O1;MBK;TH0480B10Z01;BFWRH46;;MBK.BK;ADTV_3M_EUR;362818.790260239;3/18/2024
SE602E;ADDLIFE;SE0014401378;BMVWYM8;;ALIFb.ST;ADTV_3M_EUR;1639866.56588118;3/18/2024
665780;OKUMURA;JP3194800003;6657808;;1833.T;ADTV_3M_EUR;4615132.4017048;3/18/2024
TW022T;YFY;TW0001907004;6988616;;1907.TW;ADTV_3M_EUR;2286061.93794673;3/18/2024
695799;West Japan Railway Co.;JP3659000008;6957995;;9021.T;ADTV_3M_EUR;40693900.5200834;3/18/2024
DE103V;ELRINGKLINGER N;DE0007856023;5138638;;ZILGn.DE;ADTV_3M_EUR;320645.456283574;3/18/2024
