stoxx_id,name,isin,sedol,ric,date,ADTV_3M_EUR
001016,AERIS RESOURCES,AU000000AIS8,BZ8W0K2,AIS.AX,3/18/2024,252856.698308586
001978,AIB GROUP,IE00BF0L3536,BF0L353,AIBG.I1,3/18/2024,16004445.5298345
005610,ASSOCIATED BRITISH FOODS,GB0006731235,0673123,ABF.L,3/18/2024,28094541.0782398
007100,TP ICAP,JE00BMDZN391,BMDZN39,TCAPI.L,3/18/2024,3039196.46678854
007560,BANK OF IRELAND GROUP,IE00BD1RP616,BD1RP61,BIRG.I1,3/18/2024,19467344.586101
007820,BARCLAYS,GB0031348658,3134865,BARC.L,3/18/2024,109658335.965265
007937,SERCO GRP,GB0007973794,0797379,SRP.L,3/18/2024,7804411.93864994
008118,BARRATT DEVELOPMENTS,GB0000811801,0081180,BDEV.L,3/18/2024,42074973.7833403
008320,INTERCONTINENTAL HOTELS GRP,GB00BHJYC057,BHJYC05,IHG.L,3/18/2024,47057517.2793294
009417,BERKELEY GRP HLDG,GB00BLJNXL82,BLJNXL8,BKGH.L,3/18/2024,13769989.9111939
009616,BALFOUR BEATTY,GB0000961622,0096162,BALF.L,3/18/2024,5098425.43690276
011517,RYANAIR,IE00BYTBXV33,BYTBXV3,RYA.I1,3/18/2024,28238101.9070955
012715,BAE SYSTEMS,GB0002634946,0263494,BAES.L,3/18/2024,84015906.0527288
012905,IAG,ES0177542018,B5M6XQ7,ICAG.L,3/18/2024,28288362.2851608
013670,BRITISH LAND COMPANY,GB0001367019,0136701,BLND.L,3/18/2024,20681376.9621158
013849,BP,GB0007980591,0798059,BP.L,3/18/2024,232371036.267041
014084,BT GRP,GB0030913577,3091357,BT.L,3/18/2024,38724213.4606645
015008,TULLOW OIL,GB0001500809,0150080,TLW.L,3/18/2024,1569992.12991293
015400,BUNZL,GB00B0744B38,B0744B3,BNZL.L,3/18/2024,25103735.2242012
016389,WETHERSPOON (J.D.),GB0001638955,0163895,JDW.L,3/18/2024,2999654.09791735
016419,EASYJET,GB00B7KR2P84,B7KR2P8,EZJ.L,3/18/2024,31687843.0471896
016420,CAPRICORN ENERGY,GB00BRJ7R218,BRJ7R21,CNE.L,3/18/2024,468789.590110819
017347,CAPITA GRP,GB00B23K0M20,B23K0M2,CPI.L,3/18/2024,1388285.83294103
018270,CRH,IE0001827041,0182704,CRH.L,3/18/2024,91068465.7081904
018390,CENTRICA,GB00B033F229,B033F22,CNA.L,3/18/2024,53848812.75935
018592,VISTRY GROUP,GB0001859296,0185929,VTYV.L,3/18/2024,16662121.2747535
021483,RATHBONES GROUP,GB0002148343,0214834,RAT.L,3/18/2024,1225762.97191144
021623,AVIVA,GB00BPQY8M80,BPQY8M8,AV.L,3/18/2024,43481219.2058991
024249,DCC,IE0002424939,0242493,DCC.L,3/18/2024,15121115.0552344
024282,NATIONAL GRID,GB00BDR05C01,BDR05C0,NG.L,3/18/2024,123417533.838874
025881,FLUTTER ENTERTAINMENT,IE00BWT6H894,BWXC0Z1,FLTRF.L,3/18/2024,151077528.279006
026256,INFORMA,GB00BMJ6DW54,BMJ6DW5,INF.L,3/18/2024,62301208.7467827
026527,DERWENT LONDON,GB0002652740,0265274,DLN.L,3/18/2024,6165872.32325064
028758,BRITISH AMERICAN TOBACCO,GB0002875804,0287580,BATS.L,3/18/2024,149087330.767034
029440,MAN GRP,JE00BJ1DLW90,BJ1DLW9,EMG.L,3/18/2024,10549714.2549073
030964,RS Group,GB0003096442,0309644,RS1R.L,3/18/2024,11256014.5513306
033086,SPECTRIS,GB0003308607,0330860,SXS.L,3/18/2024,11813117.6412267
034521,FIRSTGROUP,GB0003452173,0345217,FGP.L,3/18/2024,2723944.42180349
037178,GSK,GB00BN7SWP63,BN7SWP6,GSK.L,3/18/2024,160858720.622717
038064,GRAINGER,GB00B04V1276,B04V127,GRI.L,3/18/2024,5779129.53570788
038112,ITV,GB0033986497,3398649,ITV.L,3/18/2024,7613629.86191792
038460,GREAT PORTLAND ESTATES,GB00BF5H9P87,BF5H9P8,GPEG.L,3/18/2024,3750071.69272709
038470,EXPERIAN,GB00B19NLV48,B19NLV4,EXPN.L,3/18/2024,68847989.0213224
038580,GREGGS,GB00B63QSB39,B63QSB3,GRG.L,3/18/2024,11238859.1675173
039600,DIAGEO,GB0002374006,0237400,DGE.L,3/18/2024,131160320.977382
040054,HSBC,GB0005405286,0540528,HSBA.L,3/18/2024,271888918.011608
040520,HALMA,GB0004052071,0405207,HLMA.L,3/18/2024,18902130.7953057
040650,HAMMERSON,GB00BK7YQK64,BK7YQK6,HMSO.L,3/18/2024,2776286.17584283
041610,HAYS,GB0004161021,0416102,HAYS.L,3/18/2024,4020851.34140573
042186,NEXT,GB0032089863,3208986,NXT.L,3/18/2024,39904893.0303163
042364,MITIE GROUP,GB0004657408,0465740,MTO.L,3/18/2024,2308837.3874202
045449,IMPERIAL BRANDS,GB0004544929,0454492,IMB.L,3/18/2024,55706810.8067218
045644,INTERMEDIATE CAPITAL GRP,GB00BYT1DJ19,BYT1DJ1,ICP.L,3/18/2024,23574745.2262031
045796,IMI,GB00BGLP8L22,BGLP8L2,IMI.L,3/18/2024,14623607.8578895
046025,INCHCAPE,GB00B61TVQ02,B61TVQ0,INCH.L,3/18/2024,9296803.22888671
047260,SPIRENT COMMUNICATIONS,GB0004726096,0472609,SPT.L,3/18/2024,7088764.2841758
047640,JOHNSON MATTHEY,GB00BZ4BQC70,BZ4BQC7,JMAT.L,3/18/2024,18224058.2036994
049065,KERRY GRP,IE0004906560,4519579,KYGa.I1,3/18/2024,30496903.2889617
050450,LAND SECURITIES,GB00BYW0PQ60,BYW0PQ6,LAND.L,3/18/2024,16976838.7061596
050840,VESUVIUS,GB00B82YXW83,B82YXW8,VSVS.L,3/18/2024,2399061.34925271
051152,LEGAL & GENERAL GRP,GB0005603997,0560399,LGEN.L,3/18/2024,43813454.970165
053315,COMPASS GRP,GB00BD6K4575,BD6K457,CPG.L,3/18/2024,96701728.6029263
055768,HOWDEN JOINERY GRP,GB0005576813,0557681,HWDN.L,3/18/2024,15219631.9352934
056540,MARKS & SPENCER GRP,GB0031274896,3127489,MKS.L,3/18/2024,34657243.6249155
056841,MARSHALLS,GB00B012BV22,B012BV2,MSLH.L,3/18/2024,1884319.96134825
060272,MORGAN ADVANCED MATERIALS,GB0006027295,0602729,MGAMM.L,3/18/2024,1817611.19847862
061403,Paragon Banking Group PLC,GB00B2NGPM57,B2NGPM5,PAGPA.L,3/18/2024,4271195.29542573
062152,MOBICO GROUP,GB0006215205,0621520,MCG.L,3/18/2024,1721318.55428953
064623,UNITED UTILITIES GRP,GB00B39J2M42,B39J2M4,UU.L,3/18/2024,22785676.3882695
067760,PEARSON,GB0006776081,0677608,PSON.L,3/18/2024,21836680.4482691
067952,PINEWOOD TECHNOLOGIES,GB00B1JQBT10,B1JQBT1,PINE.L,3/18/2024,4395510.79278212
068253,PERSIMMON,GB0006825383,0682538,PSN.L,3/18/2024,24327405.2466662
070550,VANQUIS BANKING GROUP,GB00B1Z4ST84,B1Z4ST8,VANQ.L,3/18/2024,908523.427098152
070995,PRUDENTIAL,GB0007099541,0709954,PRU.L,3/18/2024,74343853.8628632
071887,RIO TINTO,GB0007188757,0718875,RIO.L,3/18/2024,230923135.355253
071921,VODAFONE GRP,GB00BH4HKS39,BH4HKS3,VOD.L,3/18/2024,86680853.2638543
072769,RECKITT BENCKISER GRP,GB00B24CGK77,B24CGK7,RKT.L,3/18/2024,147473115.686476
073087,RELX PLC,GB00B2B0DG97,B2B0DG9,REL.L,3/18/2024,140622665.336731
073303,RENTOKIL INITIAL,GB00B082RF11,B082RF1,RTO.L,3/18/2024,65216712.5993409
073892,OLD MUTUAL,ZAE000255360,BDVPYN5,OMUJ.J,3/18/2024,4510140.56676894
074776,ROLLS ROYCE HLDG,GB00B63H8491,B63H849,RR.L,3/18/2024,167316974.74665
075069,ROTORK,GB00BVFNZH21,BVFNZH2,ROR.L,3/18/2024,5585949.8343633
075478,NATWEST GROUP,GB00BM8PJY71,BM8PJY7,NWG.L,3/18/2024,85559882.8447104
076680,CLOSE BROTHERS GRP,GB0007668071,0766807,CBRO.L,3/18/2024,5939684.73301645
076764,SAINSBURY (J),GB00B019KW72,B019KW7,SBRY.L,3/18/2024,18407795.3670846
077940,SCHRODERS,GB00BP9LHF23,BP9LHF2,SDR.L,3/18/2024,10581211.6479651
079087,SCOTTISH & SOUTHERN ENERGY,GB0007908733,0790873,SSE.L,3/18/2024,90902621.3750354
079851,SEVERN TRENT,GB00B1FH8J72,B1FH8J7,SVT.L,3/18/2024,25016042.1526047
080216,SAGE GRP,GB00B8C3BL03,B8C3BL0,SGE.L,3/18/2024,51311926.0723703
081410,SEGRO,GB00B5ZN1N88,B5ZN1N8,SGRO.L,3/18/2024,34214723.6456308
081660,SMITH & NEPHEW,GB0009223206,0922320,SN.L,3/18/2024,39764784.0588734
081827,SMITHS GRP,GB00B1WY2338,B1WY233,SMIN.L,3/18/2024,12535887.305876
082201,DS SMITH,GB0008220112,0822011,SMDS.L,3/18/2024,26107804.0830383
082699,PENNON GRP,GB00BNNTLN49,BNNTLN4,PNN.L,3/18/2024,7736824.41169593
083470,SPIRAX-SARCO,GB00BWFGQN14,BWFGQN1,SPX.L,3/18/2024,21946847.2950081
083860,STANDARD CHARTERED,GB0004082847,0408284,STAN.L,3/18/2024,66318207.4135102
087061,LLOYDS BANKING GRP,GB0008706128,0870612,LLOY.L,3/18/2024,90387885.1723113
087541,TATE & LYLE,GB00BP92CJ43,BP92CJ4,TATE.L,3/18/2024,9958240.78352967
087823,TAYLOR WIMPEY,GB0008782301,0878230,TW.L,3/18/2024,22785667.9680294
087870,CURRYS,GB00B4Y7R145,B4Y7R14,CURY.L,3/18/2024,3129179.96594674
088470,TESCO,GB00BLGZ9862,BLGZ986,TSCO.L,3/18/2024,80026986.7292771
088869,3I GROUP PLC.,GB00B1YW4409,B1YW440,III.L,3/18/2024,58017422.0193005
090399,REACH,GB0009039941,0903994,RCH.L,3/18/2024,656111.119940888
091321,UNILEVER PLC,GB00B10RZP78,B10RZP7,ULVR.L,3/18/2024,207240222.805002
092922,VICTREX,GB0009292243,0929224,VCTX.L,3/18/2024,2497846.78786566
094660,WEIR GRP,GB0009465807,0946580,WEIR.L,3/18/2024,19111418.3760191
095298,LONDON STOCK EXCHANGE,GB00B0SWJX34,B0SWJX3,LSEG.L,3/18/2024,182106973.168377
096050,WHITBREAD,GB00B1KJJ408,B1KJJ40,WTB.L,3/18/2024,43122757.7615973
096359,CARNIVAL,GB0031215220,3121522,CCL.L,3/18/2024,8413965.60450512
096970,BABCOCK INTERNATIONAL,GB0009697037,0969703,BAB.L,3/18/2024,7551897.12880884
097404,WPP,JE00B8KF9B49,B8KF9B4,WPP.L,3/18/2024,23191363.0353002
097474,IWG PLC,JE00BYVQYS01,BYVQYS0,IWG.L,3/18/2024,5528289.65214204
097720,MARSTON'S,GB00B1JQDM80,B1JQDM8,MARS.L,3/18/2024,766363.086326474
098111,KINGFISHER,GB0033195214,3319521,KGF.L,3/18/2024,15096202.6854602
098874,SYNTHOMER PLC,GB00BNTVWJ75,BNTVWJ7,SYNTS.L,3/18/2024,1713015.59209279
098952,ASTRAZENECA,GB0009895292,0989529,AZN.L,3/18/2024,333853123.363537
143406,SONOVA,CH0012549785,7156036,SOON.S,3/18/2024,32461997.598795
143451,COFINIMMO,BE0003593044,4177988,COFB.BR1,3/18/2024,5144624.88100334
154026,CI Financial Corp.,CA1254911003,B3KT0S5,CIX.TO,3/18/2024,4314351.77633807
190462,CHEMRING GRP,GB00B45C9X44,B45C9X4,CHG.L,3/18/2024,3361446.69004303
200237,TFI INTERNATIONAL,CA87241L1094,BDRXBF4,TFII.TO,3/18/2024,23225089.9461952
201164,ALIMENTATION CCH.TARD,CA01626P1484,BL56KN2,ATD.TO,3/18/2024,61695811.8145015
201425,IMAX,CA45245E1097,2473859,IMAX.N,3/18/2024,12261614.8702492
205224,ARC RESOURCES LTD,CA00208D4084,B6463M8,ARX.TO,3/18/2024,27139214.2063719
206061,ATCO CLASS 1,CA0467894006,2060615,ACOx.TO,3/18/2024,5290358.87405615
206192,TMX GROUP,CA87262K1057,B8KH5G7,X.TO,3/18/2024,7748834.77207767
206502,SMART CENTRES,CA83179X1087,BZ22BK5,SRU_u.TO,3/18/2024,4900069.50554298
207734,LAURENTIAN BK.OF CANADA,CA51925D1069,2077347,LB.TO,3/18/2024,3722744.24012164
210762,MARTINREA INTL.,CA5734591046,2107620,MRE.TO,3/18/2024,1910024.38181626
211850,PEMBINA PIPELINE CORP,CA7063271034,B4PT2P8,PPL.TO,3/18/2024,82257763.7328644
213414,H&R RLST.IT.STAPLE UNIT,CA4039254079,BGM8DW6,HR_u.TO,3/18/2024,2785791.09064895
213416,PEYTO EXPLORATION & DEV CORP,CA7170461064,B6775F5,PEY.TO,3/18/2024,7651878.16426767
213545,NOVAGOLD RESOURCES,CA66987E2069,2135450,NG.TO,3/18/2024,616205.75944668
215979,CCL INDS.'B',CA1249003098,2159795,CCLb.TO,3/18/2024,11302761.1140162
217052,Canadian Imperial Bank of Comm,CA1360691010,2170525,CM.TO,3/18/2024,153781355.485098
218559,FIRST CAPITAL REIT,CA31890B1031,BKSLS55,FCR_u.TO,3/18/2024,4734376.05243964
218828,CANADIAN WESTERN BANK,CA13677F1018,2188283,CWB.TO,3/18/2024,5647995.95865835
220576,COGECO COMMUNICATIONS INC.,CA19239C1068,BZCDFX9,CCA.TO,3/18/2024,4977673.79291922
221845,SSR MINING INC. (NAS),CA7847301032,BF7MQ72,SSRM.OQ,3/18/2024,26856558.1335032
222961,RIOCAN REIT.TST.,CA7669101031,2229610,REI_u.TO,3/18/2024,9516983.74772418
224880,RUSSEL METALS,CA7819036046,2248808,RUS.TO,3/18/2024,5639384.93059922
230787,Eldorado Gold Corp.,CA2849025093,BHZJ5Y9,ELD.TO,3/18/2024,4313836.18326847
231800,VERMILION ENERGY INC.,CA9237251058,B607XS1,VET.TO,3/18/2024,8041900.52701447
234539,RB GLOBAL,CA74935Q1072,BMWGSD8,RBA.N,3/18/2024,56595616.9289304
234760,First Quantum Minerals Ltd.,CA3359341052,2347608,FM.TO,3/18/2024,27202866.3011766
235023,Colliers International,CA1946931070,BYL7SB4,CIGI.TO,3/18/2024,5239054.09023634
238495,Great-West Lifeco Inc.,CA39138C1068,2384951,GWO.TO,3/18/2024,74557763.7229738
241170,ALAMOS GOLD,CA0115321089,BZ3DNP6,AGI.TO,3/18/2024,6729545.78452324
243979,ALTAGAS,CA0213611001,B43WJC5,ALA.TO,3/18/2024,14656686.7937442
244664,IAMGOLD Corp.,CA4509131088,2446646,IMG.TO,3/18/2024,2770946.15221522
248451,CORUS ENTM.'B' NON VTG.,CA2208741017,2484516,CJRb.TO,3/18/2024,236912.028442682
249231,Kinross Gold Corp.,CA4969024047,B03Z841,K.TO,3/18/2024,15285506.1954748
251122,LABRADOR IO. ORE RTY. CORP,CA5054401073,B8L02P3,LIF.TO,3/18/2024,3347922.51927844
255273,BAYTEX ENERGY CORP,CA07317Q1054,B4VGVM3,BTE.TO,3/18/2024,12151405.2970749
255472,CREW ENERGY,CA2265331074,2554721,CR.TO,3/18/2024,719910.83014578
256612,Sun Life Financial Inc.,CA8667961053,2566124,SLF.TO,3/18/2024,97401748.3236297
260351,ENERPLUS CORPORATION,CA2927661025,B521G07,ERF.N,3/18/2024,46357310.4068648
260962,MULLEN GROUP,CA6252841045,B4MMW16,MTL.TO,3/18/2024,1576544.45865271
262611,Crescent Point Energy Corp.,CA22576C1014,B67C8W8,CPG.TO,3/18/2024,20490548.1408375
265441,METHANEX,CA59151K1084,2654416,MX.TO,3/18/2024,3749645.23927539
266927,PAN AMER.SILV. (NYSE),CA6979001089,2703396,PAAS.N,3/18/2024,44851436.5339046
269954,AECON GROUP,CA00762V1094,2699547,ARE.TO,3/18/2024,3517271.0707071
271551,KEYERA CORP,CA4932711001,B3SGMV5,KEY.TO,3/18/2024,19486348.7890454
274642,Manulife Financial Corp.,CA56501R1064,2492519,MFC.TO,3/18/2024,134937277.453748
276132,ADVANTAGE ENERGY,CA00791P1071,BNW0WP7,AAV.TO,3/18/2024,2167812.54172862
276388,AtkinsRealis,CA78460T1057,2763884,ATRL.TO,3/18/2024,8516783.09471414
