stoxx_id,name,isin,sedol,ric,date,ADTV_3M_EUR
001016,AERIS RESOURCES,AU000000AIS8,BZ8W0K2,AIS.AX,12/18/2023,241876.94796399
001978,AIB GROUP,IE00BF0L3536,BF0L353,AIBG.I1,12/18/2023,14479333.7481151
005610,ASSOCIATED BRITISH FOODS,GB0006731235,0673123,ABF.L,12/18/2023,28290718.3038352
007100,TP ICAP,JE00BMDZN391,BMDZN39,TCAPI.L,12/18/2023,3399154.15424772
007560,BANK OF IRELAND GROUP,IE00BD1RP616,BD1RP61,BIRG.I1,12/18/2023,15299205.3336784
007820,BARCLAYS,GB0031348658,3134865,BARC.L,12/18/2023,87424719.1183547
007937,SERCO GRP,GB0007973794,0797379,SRP.L,12/18/2023,3253624.25152876
008118,BARRATT DEVELOPMENTS,GB0000811801,0081180,BDEV.L,12/18/2023,22698267.5123767
008320,INTERCONTINENTAL HOTELS GRP,GB00BHJYC057,BHJYC05,IHG.L,12/18/2023,36855037.1599945
009417,BERKELEY GRP HLDG,GB00BLJNXL82,BLJNXL8,BKGH.L,12/18/2023,13369962.2419465
009616,BALFOUR BEATTY,GB0000961622,0096162,BALF.L,12/18/2023,4221818.29625514
011517,RYANAIR,IE00BYTBXV33,BYTBXV3,RYA.I1,12/18/2023,29176628.7530583
012715,BAE SYSTEMS,GB0002634946,0263494,BAES.L,12/18/2023,61741208.745714
012905,IAG,ES0177542018,B5M6XQ7,ICAG.L,12/18/2023,27159701.8446304
013670,BRITISH LAND COMPANY,GB0001367019,0136701,BLND.L,12/18/2023,21155554.0424081
013849,BP,GB0007980591,0798059,BP.L,12/18/2023,203985155.024081
014084,BT GRP,GB0030913577,3091357,BT.L,12/18/2023,34254497.2659679
014729,BROWN GROUP,GB00B1P6ZR11,B1P6ZR1,,12/18/2023,31731.4122307472
015008,TULLOW OIL,GB0001500809,0150080,TLW.L,12/18/2023,1464689.59547565
015400,BUNZL,GB00B0744B38,B0744B3,BNZL.L,12/18/2023,23541963.59102
016389,WETHERSPOON (J.D.),GB0001638955,0163895,JDW.L,12/18/2023,2971318.664509
016419,EASYJET,GB00B7KR2P84,B7KR2P8,EZJ.L,12/18/2023,20250794.2473994
016420,CAPRICORN ENERGY,GB00BRJ7R218,BRJ7R21,CNE.L,12/18/2023,411684.685312937
017347,CAPITA GRP,GB00B23K0M20,B23K0M2,CPI.L,12/18/2023,957987.326890622
018270,CRH,IE0001827041,0182704,CRH.L,12/18/2023,118267029.977266
018390,CENTRICA,GB00B033F229,B033F22,CNA.L,12/18/2023,39542001.1595621
018592,VISTRY GROUP,GB0001859296,0185929,VTYV.L,12/18/2023,8797515.01582912
021483,RATHBONES GROUP,GB0002148343,0214834,RAT.L,12/18/2023,1240591.27251673
021623,AVIVA,GB00BPQY8M80,BPQY8M8,AV.L,12/18/2023,30706205.9564371
024249,DCC,IE0002424939,0242493,DCC.L,12/18/2023,11542384.8333746
024282,NATIONAL GRID,GB00BDR05C01,BDR05C0,NG.L,12/18/2023,112076602.544744
025881,FLUTTER ENTERTAINMENT,IE00BWT6H894,BWXC0Z1,FLTRF.L,12/18/2023,75860837.6835183
026256,INFORMA,GB00BMJ6DW54,BMJ6DW5,INF.L,12/18/2023,34708443.5885673
026527,DERWENT LONDON,GB0002652740,0265274,DLN.L,12/18/2023,6403580.08052323
028758,BRITISH AMERICAN TOBACCO,GB0002875804,0287580,BATS.L,12/18/2023,105527200.917843
029440,MAN GRP,JE00BJ1DLW90,BJ1DLW9,EMG.L,12/18/2023,7816797.47040787
030964,RS Group,GB0003096442,0309644,RS1R.L,12/18/2023,11076569.4025843
033086,SPECTRIS,GB0003308607,0330860,SXS.L,12/18/2023,10450279.4107478
033629,FILTRONIC,GB0003362992,0336299,,12/18/2023,100353.794283068
034521,FIRSTGROUP,GB0003452173,0345217,FGP.L,12/18/2023,2205000.11611016
037178,GSK,GB00BN7SWP63,BN7SWP6,GSK.L,12/18/2023,110384484.741532
038064,GRAINGER,GB00B04V1276,B04V127,GRI.L,12/18/2023,3358291.4576222
038112,ITV,GB0033986497,3398649,ITV.L,12/18/2023,7628124.974211
038460,GREAT PORTLAND ESTATES,GB00BF5H9P87,BF5H9P8,GPEG.L,12/18/2023,3569395.09579272
038470,EXPERIAN,GB00B19NLV48,B19NLV4,EXPN.L,12/18/2023,53481320.623889
038580,GREGGS,GB00B63QSB39,B63QSB3,GRG.L,12/18/2023,7312965.44229774
039600,DIAGEO,GB0002374006,0237400,DGE.L,12/18/2023,126216357.898509
040054,HSBC,GB0005405286,0540528,HSBA.L,12/18/2023,197375685.568557
040520,HALMA,GB0004052071,0405207,HLMA.L,12/18/2023,20646304.6316946
040650,HAMMERSON,GB00BK7YQK64,BK7YQK6,HMSO.L,12/18/2023,3435834.21185043
041610,HAYS,GB0004161021,0416102,HAYS.L,12/18/2023,3996074.23115219
042186,NEXT,GB0032089863,3208986,NXT.L,12/18/2023,29510210.9972282
042364,MITIE GROUP,GB0004657408,0465740,MTO.L,12/18/2023,3012969.45114096
043391,CELTIC,GB0004339189,0433918,,12/18/2023,8124.09402910507
045449,IMPERIAL BRANDS,GB0004544929,0454492,IMB.L,12/18/2023,42213850.9604089
045644,INTERMEDIATE CAPITAL GRP,GB00BYT1DJ19,BYT1DJ1,ICP.L,12/18/2023,16596800.4861544
045796,IMI,GB00BGLP8L22,BGLP8L2,IMI.L,12/18/2023,7019128.9808118
046025,INCHCAPE,GB00B61TVQ02,B61TVQ0,INCH.L,12/18/2023,7328145.59759536
047260,SPIRENT COMMUNICATIONS,GB0004726096,0472609,SPT.L,12/18/2023,2472052.80901987
